,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
949,ENSG00000136352,HGNC:11825,NKX2-1,1,4.132805135,17.06711797,0.005235602
950,ENSG00000164591,HGNC:18565,MYOZ3,1,3.585608137,101.4243349,0.005235602
951,ENSG00000167244,HGNC:5466,IGF2,1,3.173949959,11263.27215,0.005
952,ENSG00000180176,HGNC:11782,TH,1,2.38910128,46.01149955,0.005235602
953,ENSG00000173991,HGNC:11610,TCAP,1,1.577494776,102.5983968,0.005
954,ENSG00000177606,HGNC:6204,JUN,1,1.574830388,8393.997492,0.015706806
955,ENSG00000105963,HGNC:16486,ADAP1,1,1.382333961,235.5105338,0.005076142
956,ENSG00000156127,HGNC:958,BATF,1,1.145631969,434.4094465,0.005
957,ENSG00000126458,HGNC:10447,RRAS,1,1.059464886,1457.450912,0.010309278
958,ENSG00000182809,HGNC:2361,CRIP2,1,1.014203447,7895.17637,0.005
959,ENSG00000124762,HGNC:1784,CDKN1A,1,0.968586287,3129.087195,0.005
960,ENSG00000069667,HGNC:10258,RORA,1,0.846339149,491.5493154,0.005235602
961,ENSG00000105369,HGNC:1698,CD79A,1,0.833770499,527.4345237,0.005
962,ENSG00000135900,HGNC:16650,MRPL44,1,0.805836244,732.6883346,0.005
963,ENSG00000086065,HGNC:26942,CHMP5,1,0.727005608,1974.972263,0.005235602
964,ENSG00000184557,HGNC:19391,SOCS3,1,0.70476687,2496.693049,0.005
965,ENSG00000204859,HGNC:4930,ZBTB48,1,0.693534599,607.374243,0.04
966,ENSG00000224470,HGNC:33279,ATXN1L,1,0.678718358,1210.9501,0.005
967,ENSG00000005882,HGNC:8810,PDK2,1,0.676015894,637.4058868,0.005235602
968,ENSG00000069974,HGNC:9766,RAB27A,1,0.644801718,618.3147078,0.010309278
969,ENSG00000101255,HGNC:16228,TRIB3,1,0.610727006,1085.827521,0.03
970,ENSG00000173402,HGNC:2666,DAG1,1,0.601852794,4677.796008,0.005
971,ENSG00000177425,HGNC:8614,PAWR,1,0.598834763,2280.783454,0.01
972,ENSG00000197746,HGNC:9498,PSAP,1,0.577414194,37893.09977,0.005
973,ENSG00000103490,HGNC:16608,PYCARD,1,0.565513993,1177.699999,0.045
974,ENSG00000117984,HGNC:2529,CTSD,1,0.531128996,29887.99639,0.005154639
