,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
72,ENSG00000146648,HGNC:3236,EGFR,17,6.011997384,4279.452927,0.005235602
73,ENSG00000147255,HGNC:5948,IGSF1,17,4.369873063,1519.284668,0.005235602
74,ENSG00000163629,HGNC:9646,PTPN13,17,2.860517914,2126.186606,0.005
75,ENSG00000106278,HGNC:9685,PTPRZ1,17,2.689000068,210.4911497,0.020942408
76,ENSG00000018236,HGNC:2171,CNTN1,17,2.479515924,566.8719511,0.045
77,ENSG00000169031,HGNC:2204,COL4A3,17,2.377300721,50.87343082,0.005
78,ENSG00000174469,HGNC:13830,CNTNAP2,17,1.272114259,1129.258074,0.005
79,ENSG00000100393,HGNC:3373,EP300,17,1.221715446,4093.092129,0.005154639
80,ENSG00000185008,HGNC:10250,ROBO2,17,0.659072444,281.5607769,0.04040404
81,ENSG00000102974,HGNC:13723,CTCF,17,0.628822494,1733.974882,0.005
82,ENSG00000112282,HGNC:2372,MED23,17,0.390459633,1095.502514,0.005
83,ENSG00000153201,HGNC:9848,RANBP2,17,0.299578039,2693.064834,0.005
84,ENSG00000101868,HGNC:9173,POLA1,17,0.204077924,263.3488723,0.020618557
85,ENSG00000197081,HGNC:5467,IGF2R,17,-0.571518873,-13446.80663,0.005154639
86,ENSG00000170776,HGNC:371,AKAP13,17,-76.24957257,8725.714691,0.020942408
87,ENSG00000198932,HGNC:24834,GPRASP1,16,211.6174231,435.8120522,0.005235602
88,ENSG00000077522,HGNC:164,ACTN2,16,3.008346828,100.4632595,0.005
89,ENSG00000164692,HGNC:2198,COL1A2,16,1.733853279,174362.1308,0.005
90,ENSG00000089250,HGNC:7872,NOS1,16,1.456258779,11.26545237,0.005
91,ENSG00000198753,HGNC:9105,PLXNB3,16,1.020514043,752.795814,0.010309278
92,ENSG00000136869,HGNC:11850,TLR4,16,0.933036619,475.4086681,0.005
93,ENSG00000145675,HGNC:8979,PIK3R1,16,0.718238916,3417.801329,0.005
